Age,5km,6km,4Mile,8km,5Mile,10km,12km,15km,10Mile,20km,H. Mar,25km,30km,Marathon,50km,50Mile,100km,150km,100Mile,200km
87,0.4933,0.4933,0.4933,0.4933,0.4933,0.4933,0.4948,0.4969,0.4982,0.5011,0.5014,0.5024,0.5035,0.5037,0.5037,0.5037,0.5037,0.5037,0.5037,0.5037
88,0.4735,0.4735,0.4735,0.4735,0.4735,0.4735,0.4750,0.4771,0.4783,0.4812,0.4815,0.4825,0.4836,0.4838,0.4838,0.4838,0.4838,0.4838,0.4838,0.4838
89,0.4531,0.4531,0.4531,0.4531,0.4531,0.4531,0.4545,0.4566,0.4578,0.4606,0.4609,0.4619,0.4630,0.4632,0.4632,0.4632,0.4632,0.4632,0.4632,0.4632
90,0.4321,0.4321,0.4321,0.4321,0.4321,0.4321,0.4334,0.4354,0.4366,0.4393,0.4396,0.4406,0.4417,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419,0.4419
91,0.4104,0.4104,0.4104,0.4104,0.4104,0.4104,0.4117,0.4136,0.4148,0.4174,0.4177,0.4186,0.4197,0.4198,0.4198,0.4198,0.4198,0.4198,0.4198,0.4198
92,0.3881,0.3881,0.3881,0.3881,0.3881,0.3881,0.3893,0.3911,0.3922,0.3947,0.3950,0.3959,0.3969,0.3971,0.3971,0.3971,0.3971,0.3971,0.3971,0.3971
93,0.3652,0.3652,0.3652,0.3652,0.3652,0.3652,0.3663,0.3680,0.3690,0.3714,0.3717,0.3726,0.3735,0.3737,0.3737,0.3737,0.3737,0.3737,0.3737,0.3737
94,0.3416,0.3416,0.3416,0.3416,0.3416,0.3416,0.3426,0.3442,0.3451,0.3474,0.3476,0.3485,0.3494,0.3496,0.3496,0.3496,0.3496,0.3496,0.3496,0.3496
95,0.3174,0.3174,0.3174,0.3174,0.3174,0.3174,0.3182,0.3197,0.3206,0.3226,0.3229,0.3237,0.3245,0.3248,0.3248,0.3248,0.3248,0.3248,0.3248,0.3248
96,0.2926,0.2926,0.2926,0.2926,0.2926,0.2926,0.2933,0.2946,0.2954,0.2972,0.2974,0.2982,0.2990,0.2992,0.2992,0.2992,0.2992,0.2992,0.2992,0.2992
97,0.2671,0.2671,0.2671,0.2671,0.2671,0.2671,0.2676,0.2688,0.2695,0.2711,0.2713,0.2720,0.2727,0.2730,0.2730,0.2730,0.2730,0.2730,0.2730,0.2730
98,0.2409,0.2409,0.2409,0.2409,0.2409,0.2409,0.2413,0.2424,0.2429,0.2443,0.2445,0.2451,0.2458,0.2461,0.2461,0.2461,0.2461,0.2461,0.2461,0.2461
99,0.2142,0.2142,0.2142,0.2142,0.2142,0.2142,0.2144,0.2153,0.2157,0.2168,0.2169,0.2175,0.2181,0.2185,0.2185,0.2185,0.2185,0.2185,0.2185,0.2185
100,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1868,0.1875,0.1878,0.1886,0.1887,0.1892,0.1898,0.1902,0.1902,0.1902,0.1902,0.1902,0.1902,0.1902
